Rank,Name,Time
1,Grand Ledge (A),1:36.89
2,Grand Ledge (A),1:38.96
3,Grand Ledge (A),1:39.05
4,Grand Ledge (A),1:39.52
5,Grand Ledge (A),1:40.01
6,Grand Ledge (A),1:40.84
7,Grand Ledge (A),1:41.26
8,Grand Ledge (A),1:41.67
9,Grand Ledge (A),1:44.58
10,Grand Ledge (B),1:45.45
11,Grand Ledge (A),1:50.71
12,Grand Ledge (B),1:53.09
13,Grand Ledge (B),1:55.14
14,Grand Ledge (B),1:55.18
15,Grand Ledge (B),1:56.64
16,Grand Ledge (B),1:58.68
17,Grand Ledge (B),1:59.36
18,Grand Ledge (B),2:00.85
19,Grand Ledge (B),2:03.90
20,Grand Ledge (B),2:10.36
21,Grand Ledge (C),2:17.21
22,Grand Ledge (C),2:17.94
