Rank,Name,Time
1,Saint Johns (A),1:49.85
2,Saint Johns (A),1:52.97
3,Saint Johns (A),1:54.05
4,Saint Johns (A),1:54.73
4,Saint Johns (A),1:54.73
6,Saint Johns (A),1:57.76
7,Saint Johns (B),2:06.41
8,Saint Johns (B),2:08.86
8,Saint Johns (B),2:08.86
10,Saint Johns (B),2:12.33
11,Saint Johns (B),2:17.27
