Rank,Name,Time
1,Holt (A),1:35.90
2,Holt (A),1:36.36
3,Holt (A),1:37.06
4,Holt (A),1:37.22
5,Holt (A),1:37.78
5,Holt (A),1:37.78
7,Holt (A),1:37.87
8,Holt (A),1:38.23
9,Holt (A),1:39.39
10,Holt (A),1:40.00
11,Holt (A),1:40.61
12,Holt (A),1:40.95
13,Holt (B),1:42.61
14,Holt (B),1:42.72
15,Holt (B),1:43.24
15,Holt (B),1:43.24
17,Holt (B),1:44.58
18,Holt (B),1:45.56
19,Holt (B),1:47.50
20,Holt (C),1:47.80
21,Holt (B),1:48.41
22,Holt (B),1:49.62
23,Holt (C),1:49.99
24,Holt (C),1:50.75
25,Holt (C),1:52.35
25,Holt (C),1:52.35
27,Holt (B),1:52.60
28,Holt (C),1:52.81
29,Holt (C),1:53.84
30,Holt (B),1:54.06
31,Holt (C),1:57.28
32,Holt (C),1:58.22
33,Holt (C),2:00.28
34,Holt (D),2:07.87
34,Holt (D),2:07.87
