Rank,Name,Time
1,Haslett (A),2:01.26
2,Haslett (A),2:01.39
3,Haslett (A),2:03.40
4,Haslett (A),2:07.68
5,Haslett (A),2:09.71
6,Haslett (B),2:17.42
7,Haslett (C),2:17.63
8,Haslett (B),2:19.22
9,Haslett (B),2:21.24
10,Haslett (C),2:25.57
11,Haslett (B),2:26.13
12,Haslett (B),2:29.61
