Rank,Name,Time
1,Haslett (A),1:44.17
2,Haslett (A),1:45.13
3,Haslett (A),1:48.71
4,Haslett (A),1:51.89
5,Haslett (A),1:52.04
6,Haslett (A),1:52.76
7,Haslett (B),1:59.12
8,Haslett (B),1:59.69
9,Haslett (B),2:00.73
10,Haslett (B),2:01.42
11,Haslett (B),2:03.40
12,Haslett (C),2:03.96
13,Haslett (C),2:05.27
