Rank,Name,Time
1,East Lansing (A),1:35.33
2,East Lansing (A),1:36.76
3,East Lansing (A),1:36.86
4,East Lansing (A),1:37.37
5,East Lansing (A),1:38.34
6,East Lansing (B),1:38.96
7,East Lansing (A),1:39.31
8,East Lansing (A),1:39.86
9,East Lansing (A),1:41.84
10,East Lansing (A),1:42.93
11,East Lansing (B),1:43.22
12,East Lansing (B),1:43.81
13,East Lansing (B),1:44.34
14,East Lansing (A),1:44.65
14,East Lansing (A),1:44.65
16,East Lansing (B),1:45.49
17,East Lansing (C),1:51.64
18,East Lansing (A),1:53.04
19,East Lansing (C),1:53.81
20,East Lansing (C),1:55.88
21,East Lansing (C),1:57.57
22,East Lansing (C),2:00.65
23,East Lansing (B),2:02.26
23,East Lansing (B),2:02.26
25,East Lansing (D),2:10.36
26,East Lansing (C),2:11.40
27,East Lansing (B),2:12.00
28,East Lansing (B),2:13.52
29,East Lansing (D),2:27.61
30,East Lansing (D),2:32.25
