Rank,Name,Time
1,Okemos (A),3:24.57
2,Okemos (A),3:25.23
3,Okemos (A),3:28.00
4,Okemos (A),3:31.33
5,Okemos (A),3:32.58
6,Okemos (A),3:32.75
7,Okemos (A),3:36.47
8,Okemos (A),3:37.01
9,Okemos (A),3:38.75
10,Okemos (B),3:51.73
11,Okemos (A),3:54.80
12,Okemos (B),3:58.28
13,Okemos (B),3:59.70
14,Okemos (B),4:00.55
15,Okemos (B),4:01.09
16,Okemos (B),4:05.48
17,Okemos (B),4:07.24
18,Okemos (C),4:19.43
19,Okemos (C),4:20.00
20,Okemos (B),4:21.07
21,Okemos (D),4:30.04
22,Okemos (C),4:32.98
23,Okemos (C),4:36.74
24,Okemos (C),4:52.10
25,Okemos (C),4:57.16
