Rank,Name,Time
1,Dewitt (A),1:36.39
2,Dewitt (A),1:38.65
3,Dewitt (A),1:38.75
4,Dewitt (A),1:38.82
5,Dewitt (B),1:39.27
6,Dewitt (A),1:39.69
7,Dewitt (A),1:39.71
8,Dewitt (A),1:39.80
9,Dewitt (B),1:40.62
10,Dewitt (B),1:41.26
11,Dewitt (B),1:41.46
12,Dewitt (B),1:42.16
13,Dewitt (A),1:42.42
14,Dewitt (A),1:42.72
14,Dewitt (A),1:42.72
16,Dewitt (B),1:44.57
17,Dewitt (C),1:45.20
18,Dewitt (B),1:46.19
18,Dewitt (B),1:46.19
20,Dewitt (F),1:46.54
20,Dewitt (F),1:46.54
22,Dewitt (B),1:46.85
23,Dewitt (C),1:47.30
24,Dewitt (D),1:47.76
25,Dewitt (C),1:48.35
26,Dewitt (C),1:48.42
27,Dewitt (E),1:52.04
28,Dewitt (C),1:52.30
29,Dewitt (C),1:53.10
29,Dewitt (C),1:53.10
31,Dewitt (G),1:54.77
31,Dewitt (G),1:54.77
33,Dewitt (D),1:58.47
34,Dewitt (D),2:00.32
35,Dewitt (E),2:00.71
35,Dewitt (E),2:00.71
37,Dewitt (D),2:02.18
38,Dewitt (D),2:08.17
38,Dewitt (D),2:08.17
40,Dewitt (C),2:09.26
41,Dewitt (F),2:10.56
